Carcass Drop,Site,Flood,Season,Habitat,group_size
1SD,1,Before Flood,Cool,Open,2.591836735
1SD,2,Before Flood,Cool,Open,2.875
1SD,3,Before Flood,Cool,Open,3.775280899
1SD,4,Before Flood,Cool,Open,2.912621359
1SD,5,Before Flood,Cool,Open,3.411290323
1SD,6,Before Flood,Cool,Closed,3.219298246
1SD,7,Before Flood,Cool,Closed,2.398058252
1SD,8,Before Flood,Cool,Open,2.547368421
1SD,9,Before Flood,Cool,Closed,4.157303371
1SD,10,Before Flood,Cool,Open,3.446043165
1SD,11,Before Flood,Cool,Closed,2.837209302
1SD,12,Before Flood,Cool,Open,4.702702703
1SD,13,Before Flood,Cool,Closed,3.476190476
1SD,14,Before Flood,Cool,Open,2.983606557
1SD,15,Before Flood,Cool,Closed,2.130434783
1SD,16,Before Flood,Cool,Closed,3.157303371
1SD,17,Before Flood,Cool,Open,4.069444444
1SD,18,Before Flood,Cool,Closed,3.915254237
1SD,19,Before Flood,Cool,Closed,1.837209302
1SD,20,Before Flood,Cool,Closed,1.619047619
2SD,1,Before Flood,Warm,Closed,1.857142857
2SD,2,Before Flood,Warm,Open,1.833333333
2SD,3,Before Flood,Warm,Open,2.256410256
2SD,4,Before Flood,Warm,Closed,2.133333333
2SD,5,Before Flood,Warm,Open,3
2SD,6,Before Flood,Warm,Closed,2.555555556
2SD,7,Before Flood,Warm,Open,2.285714286
2SD,8,Before Flood,Warm,Closed,2.411764706
2SD,9,Before Flood,Warm,Open,2.029411765
2SD,10,Before Flood,Warm,Closed,2.888888889
2SD,12,Before Flood,Warm,Open,2.2
2SD,13,Before Flood,Warm,Closed,2.103448276
2SD,14,Before Flood,Warm,Open,3.956521739
2SD,15,Before Flood,Warm,Closed,1.941176471
2SD,16,Before Flood,Warm,Open,2.14
2SD,17,Before Flood,Warm,Closed,1
2SD,18,Before Flood,Warm,Open,2.904761905
2SD,19,Before Flood,Warm,Open,2.438356164
2SD,20,Before Flood,Warm,Closed,2.6
3SD,1,After Flood,Cool,Closed,1.835820896
3SD,2,After Flood,Cool,Open,2.368
3SD,3,After Flood,Cool,Closed,2.049382716
3SD,4,After Flood,Cool,Open,2.292682927
3SD,5,After Flood,Cool,Closed,1.563492063
3SD,6,After Flood,Cool,Open,2.153846154
3SD,7,After Flood,Cool,Closed,2.109489051
3SD,8,After Flood,Cool,Open,1.971014493
3SD,9,After Flood,Cool,Closed,1.516666667
3SD,10,After Flood,Cool,Closed,2.507936508
3SD,11,After Flood,Cool,Open,1.73
3SD,12,After Flood,Cool,Closed,1.452830189
3SD,13,After Flood,Cool,Open,1.471153846
3SD,14,After Flood,Cool,Closed,2.4
3SD,15,After Flood,Cool,Closed,1.894736842
3SD,16,After Flood,Cool,Open,2.416666667
3SD,17,After Flood,Cool,Closed,2.2
3SD,18,After Flood,Cool,Open,1.969230769
3SD,19,After Flood,Cool,Open,1.492537313
3SD,20,After Flood,Cool,Open,1.233333333
4SD,1,After Flood,Warm,Open,2.08
4SD,2,After Flood,Warm,Closed,1.851851852
4SD,3,After Flood,Warm,Closed,2.158415842
4SD,4,After Flood,Warm,Open,2.769911504
4SD,5,After Flood,Warm,Closed,1.519230769
4SD,6,After Flood,Warm,Closed,2.167785235
4SD,7,After Flood,Warm,Open,2.108695652
4SD,8,After Flood,Warm,Open,2.026315789
4SD,9,After Flood,Warm,Closed,2.080645161
4SD,10,After Flood,Warm,Closed,3.217054264
4SD,11,After Flood,Warm,Closed,1.607142857
4SD,12,After Flood,Warm,Open,3.327160494
4SD,13,After Flood,Warm,Closed,2.592592593
4SD,14,After Flood,Warm,Open,3.02739726
4SD,15,After Flood,Warm,Open,3.245283019
4SD,16,After Flood,Warm,Closed,3.157232704
4SD,17,After Flood,Warm,Open,2.021276596
4SD,18,After Flood,Warm,Closed,1.771929825
4SD,19,After Flood,Warm,Open,2.338028169
4SD,20,After Flood,Warm,Open,2.071428571
