Carcass Drop,Site,Flood,Season,Habitat,visit_time,log_visit_time
1SD,1,Before Flood,Winter,Open,686,6.532067396
1SD,2,Before Flood,Winter,Open,1397,7.242726389
1SD,3,Before Flood,Winter,Open,1749,7.467599612
1SD,4,Before Flood,Winter,Open,1824,7.509472243
1SD,5,Before Flood,Winter,Open,1961,7.581617698
1SD,6,Before Flood,Winter,Closed,1863,7.530336923
1SD,7,Before Flood,Winter,Closed,1419,7.258423888
1SD,8,Before Flood,Winter,Open,637,6.458573365
1SD,9,Before Flood,Winter,Closed,1477,7.298242104
1SD,10,Before Flood,Winter,Open,986,6.894636267
1SD,11,Before Flood,Winter,Closed,1779,7.484209455
1SD,12,Before Flood,Winter,Open,1082,6.987921056
1SD,13,Before Flood,Winter,Closed,814,6.703576586
1SD,14,Before Flood,Winter,Open,2970,7.996681924
1SD,15,Before Flood,Winter,Closed,863,6.761225486
1SD,16,Before Flood,Winter,Closed,1991,7.596852603
1SD,17,Before Flood,Winter,Open,1193,7.085259696
1SD,18,Before Flood,Winter,Closed,1382,7.232154934
1SD,19,Before Flood,Winter,Closed,156,5.057730901
1SD,20,Before Flood,Winter,Closed,145,4.985773223
2SD,1,Before Flood,Spring,Closed,15,2.742988252
2SD,2,Before Flood,Spring,Open,110,4.706372066
2SD,3,Before Flood,Spring,Open,129,4.867021498
2SD,4,Before Flood,Spring,Closed,191,5.254887809
2SD,5,Before Flood,Spring,Open,68,4.236519051
2SD,6,Before Flood,Spring,Closed,143,4.967263756
2SD,7,Before Flood,Spring,Open,86,4.462453884
2SD,8,Before Flood,Spring,Closed,110,4.710580701
2SD,9,Before Flood,Spring,Open,128,4.85696598
2SD,10,Before Flood,Spring,Closed,105,4.664853188
2SD,11,Before Flood,Spring,Closed,0,0
2SD,12,Before Flood,Spring,Open,32,3.503553388
2SD,13,Before Flood,Spring,Closed,196,5.285400974
2SD,14,Before Flood,Spring,Open,373,5.925458283
2SD,15,Before Flood,Spring,Closed,44,3.807032792
2SD,16,Before Flood,Spring,Open,371,5.918535367
2SD,17,Before Flood,Spring,Closed,8,2.15563068
2SD,18,Before Flood,Spring,Open,102,4.632623212
2SD,19,Before Flood,Spring,Open,460,6.132891769
2SD,20,Before Flood,Spring,Closed,38,3.672072336
3SD,1,After Flood,Winter,Closed,495,6.207180583
3SD,2,After Flood,Winter,Open,1699,7.438452155
3SD,3,After Flood,Winter,Closed,410,6.017903601
3SD,4,After Flood,Winter,Open,1540,7.340013772
3SD,5,After Flood,Winter,Closed,403,6.002610532
3SD,6,After Flood,Winter,Open,614,6.421568066
3SD,7,After Flood,Winter,Closed,1474,7.29635677
3SD,8,After Flood,Winter,Open,304,5.721840662
3SD,9,After Flood,Winter,Closed,442,6.093494523
3SD,10,After Flood,Winter,Closed,347,5.853399082
3SD,11,After Flood,Winter,Open,612,6.417548942
3SD,12,After Flood,Winter,Closed,239,5.482096194
3SD,13,After Flood,Winter,Open,484,6.184217617
3SD,14,After Flood,Winter,Closed,436,6.080314511
3SD,15,After Flood,Winter,Closed,188,5.23998179
3SD,16,After Flood,Winter,Open,724,6.585734778
3SD,17,After Flood,Winter,Closed,72,4.286341385
3SD,18,After Flood,Winter,Open,474,6.163244626
3SD,19,After Flood,Winter,Open,190,5.253232828
3SD,20,After Flood,Winter,Open,973,6.881086131
4SD,1,After Flood,Spring,Open,316,5.757586503
4SD,2,After Flood,Spring,Closed,1486,7.304695263
4SD,3,After Flood,Spring,Closed,1558,7.351500487
4SD,4,After Flood,Spring,Open,1050,6.957116709
4SD,5,After Flood,Spring,Closed,616,6.424571843
4SD,6,After Flood,Spring,Closed,2084,7.642404223
4SD,7,After Flood,Spring,Open,401,5.996825153
4SD,8,After Flood,Spring,Open,596,6.391749595
4SD,9,After Flood,Spring,Closed,1426,7.26356318
4SD,10,After Flood,Spring,Closed,2270,7.727836093
4SD,11,After Flood,Spring,Closed,775,6.653529474
4SD,12,After Flood,Spring,Open,2587,7.858518288
4SD,13,After Flood,Spring,Closed,791,6.674855961
4SD,14,After Flood,Spring,Open,944,6.851537599
4SD,15,After Flood,Spring,Open,1128,7.029264696
4SD,16,After Flood,Spring,Closed,3096,8.038221469
4SD,17,After Flood,Spring,Open,751,6.623312399
4SD,18,After Flood,Spring,Closed,1138,7.038330222
4SD,19,After Flood,Spring,Open,755,6.627534193
4SD,20,After Flood,Spring,Open,322,5.776154815
